"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.477090407167,21.170130745999998
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.178355346497,20.438465576
"['f14', 20, -500, 500, 100, 400, 40000]",-8378.307475643756,20.610510503
"['f14', 20, -500, 500, 100, 400, 40000]",-8260.313188437949,20.626802272000006
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.276584862773,19.357369225
"['f14', 20, -500, 500, 100, 400, 40000]",-8377.284332254787,23.330996162999995
"['f14', 20, -500, 500, 100, 400, 40000]",-8378.739611797955,21.336791892000008
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.426347779832,20.69681195299998
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.244258797742,20.235023501
"['f14', 20, -500, 500, 100, 400, 40000]",-8375.874224587975,21.122719415999995
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.17552342679,20.443542379000007
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.151033776161,20.71142140699999
"['f14', 20, -500, 500, 100, 400, 40000]",-8378.429397924154,19.622045976000038
"['f14', 20, -500, 500, 100, 400, 40000]",-8259.649444971748,20.772858093000025
"['f14', 20, -500, 500, 100, 400, 40000]",-8378.918791529895,19.045666966
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.428539622671,17.711578161000034
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.52003220353,18.053451053999993
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.15261175617,18.554873278000002
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.565864257152,21.40652538500001
"['f14', 20, -500, 500, 100, 400, 40000]",-8379.239918553776,20.487795753
"['f14', 30, -500, 500, 100, 400, 40000]",-12568.93924128039,47.880136226999994
"['f14', 30, -500, 500, 100, 400, 40000]",-12568.511951318178,47.31386277
"['f14', 30, -500, 500, 100, 400, 40000]",-11493.240454870482,49.33083380999999
"['f14', 30, -500, 500, 100, 400, 40000]",-12568.155618760282,50.866911439999996
"['f14', 30, -500, 500, 100, 400, 40000]",-12560.136446863184,50.40853520600001
"['f14', 30, -500, 500, 100, 400, 40000]",-12568.617278413141,50.33365212999996
"['f14', 30, -500, 500, 100, 400, 40000]",-12569.216687617763,44.96821003300005
"['f14', 30, -500, 500, 100, 400, 40000]",-12566.731028220318,45.85424882500001
"['f14', 30, -500, 500, 100, 400, 40000]",-12568.463228540732,50.70591026300002
"['f14', 30, -500, 500, 100, 400, 40000]",-12568.994368522533,47.52982143500003
"['f14', 30, -500, 500, 100, 400, 40000]",-12569.217623179948,46.98912700200003
"['f14', 30, -500, 500, 100, 400, 40000]",-12095.536576995653,47.55263858899991
"['f14', 30, -500, 500, 100, 400, 40000]",-12569.218630117548,48.60614142999998
"['f14', 30, -500, 500, 100, 400, 40000]",-12569.288142171377,44.43347648099996
